AmostraLocal,AmostraOriginal,ClasseReal,ProbModeloCompleto,PredModeloCompleto,ProbModeloReduzido,PredModeloReduzido,ProbLOOCV_AlphaSignature,PredLOOCV_AlphaSignature
1,6,1,0.999998995772595,1,0.999999,1,0.999999995083927,1
2,13,1,0.999998991338356,1,0.999999,1,0.997399221137143,1
3,20,1,0.999998992386438,1,0.999999,1,3.16840671436951e-15,0
4,27,1,0.999998996426123,1,0.999999,1,0.00366761054912869,0
5,34,1,0.999998997634032,1,0.999999,1,0.999839691112178,1
6,5,0,1.00130250985873e-06,0,1.00000000000001e-06,0,7.1253220750414e-26,0
7,12,0,1.00050493214548e-06,0,1.00000000000002e-06,0,0.999998555799182,1
8,19,0,1.01628693554012e-06,0,1.00000000000002e-06,0,0.972296695821619,1
9,26,0,1.0050841440662e-06,0,1.00000000000001e-06,0,1,1
10,33,0,1.00332293211383e-06,0,1.00000000000001e-06,0,1.40080595060019e-08,0
